temperature,time
temperature,time
24.5,2020-02-21 20:31:53.361367
24.5,2020-02-21 20:31:54.927620
24.5,2020-02-21 20:31:56.502505
24.5,2020-02-21 20:31:58.097908
24.5,2020-02-21 20:32:00.147793
24.5,2020-02-21 20:32:01.737832
24.5,2020-02-21 20:32:03.315055
24.5,2020-02-21 20:32:04.898532
24.5,2020-02-21 20:32:06.478004
24.4,2020-02-21 20:32:08.050330
24.4,2020-02-21 20:32:09.614570
24.4,2020-02-21 20:32:11.203844
24.4,2020-02-21 20:32:17.999246
24.4,2020-02-21 20:32:19.593386
24.4,2020-02-21 20:32:21.195937
24.4,2020-02-21 20:32:22.759144
24.0,2020-02-21 20:36:41.385729
24.0,2020-02-21 20:36:42.961747
24.0,2020-02-21 20:36:44.527381
24.3,2020-02-21 20:36:46.117394
24.3,2020-02-21 20:36:47.678139
24.3,2020-02-21 20:36:49.276538
24.3,2020-02-21 20:36:51.131267
24.3,2020-02-21 20:36:52.782350
24.5,2020-02-21 20:36:54.351739
24.5,2020-02-21 20:36:55.931521
24.5,2020-02-21 20:36:57.502369
24.8,2020-02-21 20:37:00.421324
24.8,2020-02-21 20:37:01.983953
24.7,2020-02-21 20:37:03.542478
24.7,2020-02-21 20:37:05.115889
24.8,2020-02-21 20:37:06.710234
23.8,2020-02-21 20:40:13.971176
23.8,2020-02-21 20:40:15.572594
23.8,2020-02-21 20:40:17.132627
24.1,2020-02-21 20:40:18.781236
24.1,2020-02-21 20:40:20.347724
24.1,2020-02-21 20:40:21.910499
24.4,2020-02-21 20:40:23.488911
24.4,2020-02-21 20:40:25.080165
24.3,2020-02-21 20:40:26.647555
24.3,2020-02-21 20:40:28.218590
24.3,2020-02-21 20:40:29.789586
24.2,2020-02-21 20:40:31.343141
24.2,2020-02-21 20:40:32.908455
24.2,2020-02-21 20:40:34.470557
24.2,2020-02-21 20:40:36.037252
24.2,2020-02-21 20:40:37.590805
24.2,2020-02-21 20:40:39.156601
24.2,2020-02-21 20:40:40.721330
24.2,2020-02-21 20:40:42.277311
24.1,2020-02-21 20:40:43.855496
24.1,2020-02-21 20:40:45.471363
24.1,2020-02-21 20:40:47.094091
24.1,2020-02-21 20:40:48.647362
24.1,2020-02-21 20:40:50.203821
24.1,2020-02-21 20:40:51.779545
24.1,2020-02-21 20:40:53.340506
24.1,2020-02-21 20:40:54.910303
24.2,2020-02-21 20:40:56.489628
24.2,2020-02-21 20:40:58.060601
24.3,2020-02-21 20:41:00.564694
24.3,2020-02-21 20:41:02.124364
24.3,2020-02-21 20:41:03.703709
24.2,2020-02-21 20:41:05.270234
24.2,2020-02-21 20:41:06.835853
24.2,2020-02-21 20:41:08.400459
24.2,2020-02-21 20:41:09.963173
24.2,2020-02-21 20:41:11.550674
24.2,2020-02-21 20:41:13.110661
23.9,2020-02-21 20:54:16.041031
23.9,2020-02-21 20:54:17.821762
23.9,2020-02-21 20:54:19.390763
23.8,2020-02-21 20:54:21.000131
23.8,2020-02-21 20:54:22.594493
23.8,2020-02-21 20:54:24.171728
23.8,2020-02-21 20:54:25.747135
23.8,2020-02-21 20:54:27.322960
23.8,2020-02-21 20:54:28.886746
23.8,2020-02-21 20:54:30.481833
23.8,2020-02-21 20:54:32.053607
23.8,2020-02-21 20:54:33.605740
23.8,2020-02-21 20:54:35.167962
23.8,2020-02-21 20:54:36.750112
23.8,2020-02-21 20:54:38.357032
23.8,2020-02-21 20:54:39.939666
23.8,2020-02-21 20:54:41.502296
23.8,2020-02-21 20:54:43.101530
23.8,2020-02-21 20:54:44.702082
23.8,2020-02-21 20:54:46.266829
23.8,2020-02-21 20:54:47.837780
23.8,2020-02-21 20:54:49.409535
24.1,2020-02-21 20:54:50.966728
24.1,2020-02-21 20:54:52.534288
24.3,2020-02-21 20:54:54.119941
24.3,2020-02-21 20:54:55.679388
24.3,2020-02-21 20:54:57.248660
24.2,2020-02-21 20:54:59.015318
24.2,2020-02-21 20:55:00.796426
24.2,2020-02-21 20:55:02.370049
24.2,2020-02-21 20:55:03.941041
24.2,2020-02-21 20:55:05.506573
24.1,2020-02-21 20:55:07.090212
24.1,2020-02-21 20:55:08.676702
24.1,2020-02-21 20:55:10.233616
24.0,2020-02-21 20:55:16.805615
24.0,2020-02-21 20:55:18.372615
23.9,2020-02-21 20:55:19.944425
23.9,2020-02-21 20:55:21.520642
23.9,2020-02-21 20:55:23.093846
23.9,2020-02-21 20:55:24.669115
23.9,2020-02-21 20:55:26.246188
23.9,2020-02-21 20:55:27.820416
23.9,2020-02-21 20:55:29.410043
23.9,2020-02-21 20:55:31.009680
23.9,2020-02-21 20:55:32.573422
23.9,2020-02-21 20:55:34.161421
23.8,2020-02-21 20:55:35.736780
23.8,2020-02-21 20:55:37.332609
23.8,2020-02-21 20:55:38.919307
23.8,2020-02-21 20:55:40.494390
23.8,2020-02-21 20:55:42.060587
23.8,2020-02-21 20:55:43.632347
23.8,2020-02-21 20:55:45.247323
23.8,2020-02-21 20:55:46.843920
23.7,2020-02-21 20:55:48.416003
23.7,2020-02-21 20:55:50.033491
23.7,2020-02-21 20:55:51.589487
23.7,2020-02-21 20:55:53.157873
23.7,2020-02-21 20:55:54.782032
23.7,2020-02-21 20:55:56.366083
23.7,2020-02-21 20:55:57.940191
23.7,2020-02-21 20:55:59.976740
23.7,2020-02-21 20:56:01.564407
23.7,2020-02-21 20:56:03.156732
23.7,2020-02-21 20:56:04.738521
23.7,2020-02-21 20:56:06.356673
23.7,2020-02-21 20:56:07.990542
23.6,2020-02-21 20:56:09.915814
23.6,2020-02-21 20:56:11.500058
23.6,2020-02-21 20:56:13.070807
23.6,2020-02-21 20:56:14.676525
23.6,2020-02-21 20:56:16.258416
23.6,2020-02-21 20:56:17.836431
23.6,2020-02-21 20:56:19.410401
23.6,2020-02-21 20:56:20.977019
23.6,2020-02-21 20:56:22.563437
23.6,2020-02-21 20:56:24.174558
23.6,2020-02-21 20:56:25.761482
23.6,2020-02-21 20:56:27.343645
23.6,2020-02-21 20:56:28.918166
23.5,2020-02-21 20:56:30.501100
23.5,2020-02-21 20:56:32.072154
23.5,2020-02-21 20:56:33.655755
23.5,2020-02-21 20:56:35.211589
23.5,2020-02-21 20:56:36.789834
23.5,2020-02-21 20:56:38.358224
23.5,2020-02-21 20:56:39.953871
23.5,2020-02-21 20:56:41.528100
23.5,2020-02-21 20:56:43.113774
23.5,2020-02-21 20:56:44.678508
23.5,2020-02-21 20:56:46.248893
23.5,2020-02-21 20:56:47.841208
23.5,2020-02-21 20:56:49.462527
23.5,2020-02-21 20:56:51.026731
23.5,2020-02-21 20:56:52.606753
23.5,2020-02-21 20:56:54.219121
23.4,2020-02-21 20:56:55.814250
23.4,2020-02-21 20:56:57.376575
23.4,2020-02-21 20:56:59.640907
23.4,2020-02-21 20:57:01.238449
23.4,2020-02-21 20:57:02.821421
23.4,2020-02-21 20:57:04.397742
23.4,2020-02-21 20:57:06.007617
23.4,2020-02-21 20:57:07.602289
23.4,2020-02-21 20:57:08.817092
23.4,2020-02-21 20:57:10.035108
23.4,2020-02-21 20:57:11.251181
23.4,2020-02-21 20:57:12.479899
23.4,2020-02-21 20:57:13.695300
23.4,2020-02-21 20:57:14.929907
23.4,2020-02-21 20:57:16.142786
23.4,2020-02-21 20:57:17.356723
23.4,2020-02-21 20:57:18.568549
23.4,2020-02-21 20:57:19.794244
23.4,2020-02-21 20:57:21.006127
23.4,2020-02-21 20:57:22.229283
23.4,2020-02-21 20:57:23.444186
23.4,2020-02-21 20:57:24.661133
23.4,2020-02-21 20:57:25.871610
23.4,2020-02-21 20:57:27.087549
23.4,2020-02-21 20:57:28.313962
23.4,2020-02-21 20:57:29.533093
23.4,2020-02-21 20:57:30.747182
23.4,2020-02-21 20:57:31.959180
23.4,2020-02-21 20:57:33.181059
23.4,2020-02-21 20:57:34.392094
23.4,2020-02-21 20:57:35.604828
23.4,2020-02-21 20:57:36.813657
23.4,2020-02-21 20:57:38.024072
23.4,2020-02-21 20:57:39.243736
23.4,2020-02-21 20:57:40.475707
23.4,2020-02-21 20:57:41.699175
23.4,2020-02-21 20:57:42.916710
23.4,2020-02-21 20:57:44.125083
23.4,2020-02-21 20:57:45.336791
23.4,2020-02-21 20:57:46.558171
23.4,2020-02-21 20:57:47.779343
23.4,2020-02-21 20:57:48.992767
23.4,2020-02-21 20:57:50.213564
23.4,2020-02-21 20:57:51.494643
23.4,2020-02-21 20:57:52.707169
23.4,2020-02-21 20:57:53.930400
23.4,2020-02-21 20:57:55.145857
23.4,2020-02-21 20:57:56.359877
23.4,2020-02-21 20:57:57.573279
23.4,2020-02-21 20:57:58.901419
23.4,2020-02-21 20:58:00.775637
23.4,2020-02-21 20:58:01.988711
23.4,2020-02-21 20:58:03.206911
23.4,2020-02-21 20:58:04.435335
23.4,2020-02-21 20:58:05.646152
23.4,2020-02-21 20:58:06.872117
23.4,2020-02-21 20:58:08.088527
23.4,2020-02-21 20:58:09.314732
23.4,2020-02-21 20:58:10.529584
23.4,2020-02-21 20:58:11.742903
23.4,2020-02-21 20:58:12.949789
23.4,2020-02-21 20:58:14.189369
23.4,2020-02-21 20:58:15.405437
23.4,2020-02-21 20:58:16.627411
23.4,2020-02-21 20:58:17.850667
23.4,2020-02-21 20:58:19.079882
23.4,2020-02-21 20:58:20.303029
23.4,2020-02-21 20:58:21.523142
23.4,2020-02-21 20:58:22.743675
23.4,2020-02-21 20:58:23.968879
23.4,2020-02-21 20:58:25.180294
23.4,2020-02-21 20:58:26.393237
23.3,2020-02-21 20:58:27.608975
23.3,2020-02-21 20:58:28.857985
23.3,2020-02-21 20:58:30.075751
23.4,2020-02-21 20:58:31.290420
23.4,2020-02-21 20:58:32.506054
23.4,2020-02-21 20:58:33.722479
23.4,2020-02-21 20:58:34.939171
23.3,2020-02-21 20:58:36.166129
23.3,2020-02-21 20:58:37.391809
23.3,2020-02-21 20:58:38.608677
23.3,2020-02-21 20:58:39.829629
23.3,2020-02-21 20:58:41.037705
23.3,2020-02-21 20:58:42.268647
23.3,2020-02-21 20:58:43.516666
23.3,2020-02-21 20:58:44.729424
23.3,2020-02-21 20:58:45.940760
23.3,2020-02-21 20:58:47.153736
23.3,2020-02-21 20:58:48.369938
23.3,2020-02-21 20:58:49.583285
23.3,2020-02-21 20:58:50.838304
23.3,2020-02-21 20:58:52.052418
23.3,2020-02-21 20:58:53.264436
23.3,2020-02-21 20:58:54.473619
23.3,2020-02-21 20:58:55.690247
23.3,2020-02-21 20:58:56.911421
23.3,2020-02-21 20:58:58.131488
23.3,2020-02-21 20:59:00.464341
23.3,2020-02-21 20:59:01.692492
23.3,2020-02-21 20:59:02.909928
23.3,2020-02-21 20:59:04.119648
23.3,2020-02-21 20:59:05.328053
23.3,2020-02-21 20:59:06.538766
23.3,2020-02-21 20:59:07.766034
23.3,2020-02-21 20:59:09.000093
23.3,2020-02-21 20:59:10.216708
23.3,2020-02-21 20:59:11.422174
23.3,2020-02-21 20:59:12.650290
23.3,2020-02-21 20:59:13.875950
23.3,2020-02-21 20:59:15.091298
23.3,2020-02-21 20:59:16.309972
23.3,2020-02-21 20:59:17.551172
23.3,2020-02-21 20:59:18.917786
23.3,2020-02-21 20:59:20.131938
23.3,2020-02-21 20:59:21.343456
23.3,2020-02-21 20:59:22.563280
23.3,2020-02-21 20:59:23.778270
23.3,2020-02-21 20:59:24.990954
23.3,2020-02-21 20:59:26.201830
23.3,2020-02-21 20:59:27.422807
23.3,2020-02-21 20:59:28.639825
23.3,2020-02-21 20:59:29.855076
23.3,2020-02-21 20:59:31.076712
23.3,2020-02-21 20:59:32.289784
23.3,2020-02-21 20:59:33.504220
23.3,2020-02-21 20:59:34.736010
23.3,2020-02-21 20:59:35.945427
23.3,2020-02-21 20:59:37.173559
23.3,2020-02-21 20:59:38.386193
23.3,2020-02-21 20:59:39.606738
23.3,2020-02-21 20:59:40.822064
23.3,2020-02-21 20:59:42.035332
23.3,2020-02-21 20:59:43.258411
23.3,2020-02-21 20:59:44.479706
23.3,2020-02-21 20:59:45.692935
23.3,2020-02-21 20:59:46.902263
23.3,2020-02-21 20:59:48.114387
23.3,2020-02-21 20:59:49.323273
23.3,2020-02-21 20:59:50.535712
23.3,2020-02-21 20:59:51.751985
23.3,2020-02-21 20:59:52.964080
23.3,2020-02-21 20:59:54.195135
23.3,2020-02-21 20:59:55.719658
23.3,2020-02-21 20:59:56.935476
23.3,2020-02-21 20:59:58.151926
23.3,2020-02-21 20:59:59.475299
23.3,2020-02-21 21:00:00.720332
23.3,2020-02-21 21:00:01.939447
23.3,2020-02-21 21:00:03.151476
23.3,2020-02-21 21:00:04.363010
23.3,2020-02-21 21:00:05.575790
23.3,2020-02-21 21:00:06.804850
23.3,2020-02-21 21:00:08.022170
23.3,2020-02-21 21:00:09.261085
23.3,2020-02-21 21:00:10.471223
23.3,2020-02-21 21:00:11.683125
23.3,2020-02-21 21:00:12.890572
23.3,2020-02-21 21:00:14.104383
23.3,2020-02-21 21:00:15.329601
23.3,2020-02-21 21:00:16.550394
23.3,2020-02-21 21:00:17.775480
23.3,2020-02-21 21:00:18.991963
23.3,2020-02-21 21:00:20.205821
23.3,2020-02-21 21:00:21.422387
23.3,2020-02-21 21:00:27.645371
