temperature,humidity,time
24.2,19.3,2020-02-21 20:55:56.366083
24.2,19.4,2020-02-21 20:55:57.940191
24.2,19.3,2020-02-21 20:55:59.976740
24.2,19.3,2020-02-21 20:56:01.564407
24.2,19.2,2020-02-21 20:56:03.156732
24.2,19.2,2020-02-21 20:56:04.738521
24.2,19.2,2020-02-21 20:56:06.356673
24.1,19.1,2020-02-21 20:56:07.990542
24.2,19.1,2020-02-21 20:56:09.915814
24.2,19.1,2020-02-21 20:56:11.500058
24.1,19.1,2020-02-21 20:56:13.070807
24.1,19.1,2020-02-21 20:56:14.676525
24.1,19.2,2020-02-21 20:56:16.258416
24.2,19.3,2020-02-21 20:56:17.836431
24.1,19.3,2020-02-21 20:56:19.410401
24.1,19.3,2020-02-21 20:56:20.977019
24.1,19.2,2020-02-21 20:56:22.563437
24.1,19.3,2020-02-21 20:56:24.174558
24.1,19.3,2020-02-21 20:56:25.761482
24.1,19.3,2020-02-21 20:56:27.343645
24.1,19.2,2020-02-21 20:56:28.918166
24.1,19.3,2020-02-21 20:56:30.501100
24.1,19.2,2020-02-21 20:56:32.072154
24.1,19.2,2020-02-21 20:56:33.655755
24.1,19.2,2020-02-21 20:56:35.211589
24.1,19.2,2020-02-21 20:56:36.789834
24.1,19.2,2020-02-21 20:56:38.358224
24.1,19.1,2020-02-21 20:56:39.953871
24.1,19.1,2020-02-21 20:56:41.528100
24.1,19.1,2020-02-21 20:56:43.113774
24.1,19.2,2020-02-21 20:56:44.678508
24.1,19.2,2020-02-21 20:56:46.248893
24.1,19.2,2020-02-21 20:56:47.841208
24.1,19.2,2020-02-21 20:56:49.462527
24.1,19.2,2020-02-21 20:56:51.026731
24.0,19.2,2020-02-21 20:56:52.606753
24.1,19.2,2020-02-21 20:56:54.219121
24.0,19.2,2020-02-21 20:56:55.814250
24.1,19.3,2020-02-21 20:56:57.376575
24.0,19.3,2020-02-21 20:56:59.640907
24.0,19.3,2020-02-21 20:57:01.238449
24.0,19.2,2020-02-21 20:57:02.821421
24.0,19.2,2020-02-21 20:57:04.397742
24.0,19.2,2020-02-21 20:57:06.007617
24.0,19.2,2020-02-21 20:57:07.602289
24.0,19.2,2020-02-21 20:57:08.817092
24.0,19.2,2020-02-21 20:57:10.035108
24.0,19.2,2020-02-21 20:57:11.251181
24.0,19.2,2020-02-21 20:57:12.479899
24.0,19.2,2020-02-21 20:57:13.695300
24.0,19.1,2020-02-21 20:57:14.929907
24.0,19.1,2020-02-21 20:57:16.142786
23.9,19.1,2020-02-21 20:57:17.356723
24.0,19.2,2020-02-21 20:57:18.568549
24.0,19.4,2020-02-21 20:57:19.794244
23.9,19.9,2020-02-21 20:57:21.006127
24.0,20.5,2020-02-21 20:57:22.229283
23.9,20.8,2020-02-21 20:57:23.444186
23.9,20.9,2020-02-21 20:57:24.661133
24.0,20.8,2020-02-21 20:57:25.871610
24.0,20.6,2020-02-21 20:57:27.087549
24.0,20.4,2020-02-21 20:57:28.313962
24.0,20.3,2020-02-21 20:57:29.533093
23.9,20.1,2020-02-21 20:57:30.747182
23.9,19.9,2020-02-21 20:57:31.959180
24.0,19.7,2020-02-21 20:57:33.181059
23.9,19.6,2020-02-21 20:57:34.392094
23.9,19.5,2020-02-21 20:57:35.604828
23.9,19.5,2020-02-21 20:57:36.813657
23.9,19.4,2020-02-21 20:57:38.024072
24.0,19.4,2020-02-21 20:57:39.243736
24.0,19.4,2020-02-21 20:57:40.475707
23.9,19.3,2020-02-21 20:57:41.699175
23.9,19.3,2020-02-21 20:57:42.916710
23.9,19.3,2020-02-21 20:57:44.125083
23.9,19.3,2020-02-21 20:57:45.336791
23.9,19.3,2020-02-21 20:57:46.558171
23.9,19.3,2020-02-21 20:57:47.779343
23.9,19.3,2020-02-21 20:57:48.992767
23.9,19.2,2020-02-21 20:57:50.213564
23.9,19.2,2020-02-21 20:57:51.494643
23.9,19.2,2020-02-21 20:57:52.707169
23.9,19.2,2020-02-21 20:57:53.930400
23.9,19.2,2020-02-21 20:57:55.145857
23.9,19.2,2020-02-21 20:57:56.359877
23.9,19.2,2020-02-21 20:57:57.573279
23.9,19.2,2020-02-21 20:57:58.901419
23.9,19.3,2020-02-21 20:58:00.775637
23.9,19.3,2020-02-21 20:58:01.988711
23.9,19.3,2020-02-21 20:58:03.206911
23.9,19.3,2020-02-21 20:58:04.435335
23.9,19.3,2020-02-21 20:58:05.646152
23.9,19.3,2020-02-21 20:58:06.872117
23.9,19.2,2020-02-21 20:58:08.088527
23.9,19.2,2020-02-21 20:58:09.314732
23.9,19.2,2020-02-21 20:58:10.529584
23.9,19.2,2020-02-21 20:58:11.742903
23.9,19.2,2020-02-21 20:58:12.949789
23.9,19.2,2020-02-21 20:58:14.189369
23.9,19.3,2020-02-21 20:58:15.405437
23.8,19.2,2020-02-21 20:58:16.627411
23.9,19.2,2020-02-21 20:58:17.850667
23.9,19.2,2020-02-21 20:58:19.079882
23.9,19.2,2020-02-21 20:58:20.303029
23.9,19.3,2020-02-21 20:58:21.523142
23.9,19.2,2020-02-21 20:58:22.743675
23.8,19.3,2020-02-21 20:58:23.968879
23.8,19.3,2020-02-21 20:58:25.180294
23.9,19.3,2020-02-21 20:58:26.393237
23.9,19.3,2020-02-21 20:58:27.608975
23.8,19.2,2020-02-21 20:58:28.857985
23.8,19.3,2020-02-21 20:58:30.075751
23.9,19.3,2020-02-21 20:58:31.290420
23.8,19.3,2020-02-21 20:58:32.506054
23.8,19.3,2020-02-21 20:58:33.722479
23.8,19.3,2020-02-21 20:58:34.939171
23.9,19.3,2020-02-21 20:58:36.166129
23.9,19.3,2020-02-21 20:58:37.391809
23.9,19.2,2020-02-21 20:58:38.608677
23.8,19.2,2020-02-21 20:58:39.829629
23.9,19.2,2020-02-21 20:58:41.037705
23.9,19.2,2020-02-21 20:58:42.268647
23.8,19.2,2020-02-21 20:58:43.516666
23.9,19.2,2020-02-21 20:58:44.729424
23.9,19.2,2020-02-21 20:58:45.940760
23.9,19.2,2020-02-21 20:58:47.153736
23.8,19.2,2020-02-21 20:58:48.369938
23.8,19.2,2020-02-21 20:58:49.583285
23.8,19.2,2020-02-21 20:58:50.838304
23.8,19.2,2020-02-21 20:58:52.052418
23.8,19.2,2020-02-21 20:58:53.264436
23.8,19.2,2020-02-21 20:58:54.473619
23.8,19.2,2020-02-21 20:58:55.690247
23.8,19.3,2020-02-21 20:58:56.911421
23.8,19.3,2020-02-21 20:58:58.131488
23.8,19.3,2020-02-21 20:59:00.464341
23.8,19.3,2020-02-21 20:59:01.692492
23.8,19.3,2020-02-21 20:59:02.909928
23.8,19.3,2020-02-21 20:59:04.119648
23.8,19.2,2020-02-21 20:59:05.328053
23.8,19.3,2020-02-21 20:59:06.538766
23.8,19.2,2020-02-21 20:59:07.766034
23.8,19.2,2020-02-21 20:59:09.000093
23.9,19.2,2020-02-21 20:59:10.216708
23.8,19.2,2020-02-21 20:59:11.422174
23.8,19.2,2020-02-21 20:59:12.650290
23.8,19.2,2020-02-21 20:59:13.875950
23.8,19.2,2020-02-21 20:59:15.091298
23.8,19.2,2020-02-21 20:59:16.309972
23.8,19.2,2020-02-21 20:59:17.551172
23.8,19.2,2020-02-21 20:59:18.917786
23.8,19.2,2020-02-21 20:59:20.131938
23.8,19.2,2020-02-21 20:59:21.343456
23.8,19.2,2020-02-21 20:59:22.563280
23.8,19.2,2020-02-21 20:59:23.778270
23.8,19.2,2020-02-21 20:59:24.990954
23.8,19.2,2020-02-21 20:59:26.201830
23.8,19.2,2020-02-21 20:59:27.422807
23.8,19.2,2020-02-21 20:59:28.639825
23.8,19.2,2020-02-21 20:59:29.855076
23.8,19.2,2020-02-21 20:59:31.076712
23.7,19.2,2020-02-21 20:59:32.289784
23.8,19.2,2020-02-21 20:59:33.504220
23.7,19.2,2020-02-21 20:59:34.736010
23.7,19.3,2020-02-21 20:59:35.945427
23.8,19.3,2020-02-21 20:59:37.173559
23.7,19.3,2020-02-21 20:59:38.386193
23.7,19.3,2020-02-21 20:59:39.606738
23.7,19.3,2020-02-21 20:59:40.822064
23.7,19.3,2020-02-21 20:59:42.035332
23.7,19.3,2020-02-21 20:59:43.258411
23.8,19.3,2020-02-21 20:59:44.479706
23.7,19.3,2020-02-21 20:59:45.692935
23.8,19.3,2020-02-21 20:59:46.902263
23.8,19.3,2020-02-21 20:59:48.114387
23.8,19.3,2020-02-21 20:59:49.323273
23.7,19.3,2020-02-21 20:59:50.535712
23.8,19.3,2020-02-21 20:59:51.751985
23.7,19.3,2020-02-21 20:59:52.964080
23.7,19.3,2020-02-21 20:59:54.195135
23.7,19.2,2020-02-21 20:59:55.719658
23.7,19.2,2020-02-21 20:59:56.935476
23.7,19.2,2020-02-21 20:59:58.151926
23.7,19.2,2020-02-21 20:59:59.475299
23.7,19.3,2020-02-21 21:00:00.720332
23.7,19.3,2020-02-21 21:00:01.939447
23.7,19.2,2020-02-21 21:00:03.151476
23.7,19.3,2020-02-21 21:00:04.363010
23.7,19.2,2020-02-21 21:00:05.575790
23.7,19.2,2020-02-21 21:00:06.804850
23.7,19.3,2020-02-21 21:00:08.022170
23.7,19.3,2020-02-21 21:00:09.261085
23.7,19.3,2020-02-21 21:00:10.471223
23.7,19.3,2020-02-21 21:00:11.683125
23.7,19.3,2020-02-21 21:00:12.890572
23.7,19.3,2020-02-21 21:00:14.104383
23.7,19.3,2020-02-21 21:00:15.329601
23.7,19.3,2020-02-21 21:00:16.550394
23.7,19.3,2020-02-21 21:00:17.775480
23.7,19.3,2020-02-21 21:00:18.991963
23.7,19.3,2020-02-21 21:00:20.205821
23.7,19.3,2020-02-21 21:00:21.422387
23.7,19.3,2020-02-21 21:00:27.645371
23.7,19.3,2020-02-21 21:00:28.855392
23.7,19.3,2020-02-21 21:00:30.069269
23.7,19.3,2020-02-21 21:00:31.281997
23.7,19.3,2020-02-21 21:00:32.497275
23.7,19.3,2020-02-21 21:00:33.718857
23.7,19.3,2020-02-21 21:00:34.940016
23.7,19.3,2020-02-21 21:00:36.151520
23.7,19.3,2020-02-21 21:00:37.368473
23.7,19.3,2020-02-21 21:00:38.583193
23.7,19.3,2020-02-21 21:00:39.800222
23.7,19.3,2020-02-21 21:00:41.020500
23.7,19.3,2020-02-21 21:00:42.241331
23.7,19.3,2020-02-21 21:00:43.464013
23.7,19.3,2020-02-21 21:00:44.673865
23.7,19.3,2020-02-21 21:00:45.883554
23.7,19.3,2020-02-21 21:00:47.123468
23.7,19.3,2020-02-21 21:00:48.347465
23.7,19.3,2020-02-21 21:00:49.573327
23.7,19.3,2020-02-21 21:00:50.785546
23.7,19.3,2020-02-21 21:00:51.997546
23.7,19.3,2020-02-21 21:00:53.213967
23.7,19.3,2020-02-21 21:00:54.451240
23.7,19.3,2020-02-21 21:00:55.665492
23.7,19.3,2020-02-21 21:00:56.878909
23.7,19.3,2020-02-21 21:00:58.095294
23.7,19.3,2020-02-21 21:00:59.486722
23.7,19.3,2020-02-21 21:01:00.729585
23.7,19.3,2020-02-21 21:01:01.963251
23.6,19.3,2020-02-21 21:01:03.173929
23.7,19.3,2020-02-21 21:01:04.389333
23.7,19.3,2020-02-21 21:01:05.609209
23.7,19.4,2020-02-21 21:01:06.829907
23.7,19.3,2020-02-21 21:01:08.042529
23.7,19.4,2020-02-21 21:01:09.262317
23.7,19.3,2020-02-21 21:01:10.474226
23.7,19.4,2020-02-21 21:01:11.688941
23.7,19.3,2020-02-21 21:01:12.903161
23.7,19.4,2020-02-21 21:01:14.116063
23.7,19.3,2020-02-21 21:01:15.355328
23.7,19.4,2020-02-21 21:01:16.569404
23.9,20.1,2020-02-21 21:01:17.784503
23.9,25.9,2020-02-21 21:01:19.011421
23.8,27.1,2020-02-21 21:01:20.228321
23.8,26.2,2020-02-21 21:01:21.450453
23.8,25.5,2020-02-21 21:01:22.665005
23.8,24.8,2020-02-21 21:01:23.877077
23.8,24.2,2020-02-21 21:01:25.087488
23.8,23.4,2020-02-21 21:01:26.299307
23.8,22.7,2020-02-21 21:01:27.516359
23.8,22.1,2020-02-21 21:01:28.739484
23.8,21.7,2020-02-21 21:01:29.954038
23.8,21.3,2020-02-21 21:01:31.165782
23.8,21.0,2020-02-21 21:01:32.387107
23.8,20.7,2020-02-21 21:01:33.604068
23.8,20.5,2020-02-21 21:01:34.817040
23.8,20.4,2020-02-21 21:01:36.031326
23.8,20.5,2020-02-21 21:01:37.248845
23.8,20.5,2020-02-21 21:01:38.468945
23.8,20.5,2020-02-21 21:01:39.685763
23.8,20.3,2020-02-21 21:01:40.901608
23.8,20.2,2020-02-21 21:01:42.122788
23.8,19.8,2020-02-21 21:01:48.512562
23.8,19.8,2020-02-21 21:01:49.724144
23.8,19.7,2020-02-21 21:01:50.942717
23.8,19.7,2020-02-21 21:01:52.159593
23.8,19.6,2020-02-21 21:01:53.370900
23.8,19.6,2020-02-21 21:01:54.582276
23.7,19.6,2020-02-21 21:01:55.793936
23.8,19.5,2020-02-21 21:01:57.008234
23.8,19.5,2020-02-21 21:01:58.231013
23.8,19.4,2020-02-21 21:01:59.659201
23.8,19.5,2020-02-21 21:02:00.874377
23.8,19.5,2020-02-21 21:02:02.091638
23.8,19.5,2020-02-21 21:02:03.313848
23.8,19.5,2020-02-21 21:02:04.523592
23.8,19.4,2020-02-21 21:02:05.740168
23.8,19.3,2020-02-21 21:02:06.949363
23.8,19.3,2020-02-21 21:02:08.172118
23.8,19.3,2020-02-21 21:02:09.395875
23.8,19.4,2020-02-21 21:02:10.607437
23.7,19.3,2020-02-21 21:02:11.830461
23.8,19.4,2020-02-21 21:02:13.045684
23.8,19.3,2020-02-21 21:02:14.262132
23.7,19.4,2020-02-21 21:02:15.480834
23.7,19.4,2020-02-21 21:02:16.701168
23.8,19.4,2020-02-21 21:02:17.911343
23.7,19.4,2020-02-21 21:02:19.134412
23.7,19.5,2020-02-21 21:02:20.350358
23.8,19.4,2020-02-21 21:02:21.559147
23.8,19.4,2020-02-21 21:02:22.772203
23.7,19.4,2020-02-21 21:02:24.063668
23.7,19.4,2020-02-21 21:02:25.274965
23.7,19.4,2020-02-21 21:02:26.492691
23.7,19.4,2020-02-21 21:02:27.707326
23.7,19.4,2020-02-21 21:02:28.927495
23.7,19.4,2020-02-21 21:02:30.145845
23.7,19.4,2020-02-21 21:02:31.362585
