temperature,time
25.7,2020-02-24 11:50:30
24.9,2020-02-24 17:13:01
24.9,2020-02-24 17:13:05
24.9,2020-02-24 17:13:13
24.9,2020-02-24 17:13:18
24.9,2020-02-24 17:13:21
24.9,2020-02-24 17:13:25
24.9,2020-02-24 17:13:29
24.9,2020-02-24 17:13:33
24.9,2020-02-24 17:13:50
24.9,2020-02-24 17:25:52
24.8,2020-02-24 17:25:59
24.9,2020-02-24 17:26:11
24.8,2020-02-24 17:32:45
24.8,2020-02-24 17:33:22
24.8,2020-02-24 17:33:29
24.8,2020-02-24 17:33:36
24.8,2020-02-24 17:33:52
24.8,2020-02-24 17:34:01
